year,month,route,avg_ridership,city
2019,4,1,1710.5454545454545,Chicago
2019,4,100,455.45454545454544,Chicago
2019,4,1001,92.44827586206897,Chicago
2019,4,103,1590.9,Chicago
2019,4,106,907.2666666666667,Chicago
2019,4,108,983.7727272727273,Chicago
2019,4,11,1280.7666666666667,Chicago
2019,4,111,2477.0,Chicago
2019,4,111A,173.2,Chicago
2019,4,112,1413.1333333333334,Chicago
2019,4,115,2375.633333333333,Chicago
2019,4,119,3503.5666666666666,Chicago
2019,4,12,10339.9,Chicago
2019,4,120,786.5909090909091,Chicago
2019,4,121,1114.9545454545455,Chicago
2019,4,124,949.7666666666667,Chicago
2019,4,125,1162.9545454545455,Chicago
2019,4,126,4114.166666666667,Chicago
2019,4,134,3004.318181818182,Chicago
2019,4,135,3537.7272727272725,Chicago
2019,4,136,1968.8181818181818,Chicago
2019,4,143,1788.909090909091,Chicago
2019,4,146,11469.35294117647,Chicago
2019,4,147,11140.23076923077,Chicago
2019,4,148,2413.8,Chicago
2019,4,15,6033.916666666667,Chicago
2019,4,151,14210.363636363636,Chicago
2019,4,171,1015.1111111111111,Chicago
2019,4,172,1229.3333333333333,Chicago
2019,4,18,3226.5,Chicago
2019,4,19,150.0,Chicago
2019,4,192,746.0,Chicago
2019,4,20,13430.333333333334,Chicago
2019,4,201,2307.8076923076924,Chicago
2019,4,206,678.4090909090909,Chicago
2019,4,21,7840.933333333333,Chicago
2019,4,22,14782.7,Chicago
2019,4,24,2606.181818181818,Chicago
2019,4,26,4174.227272727273,Chicago
2019,4,28,4806.4,Chicago
2019,4,29,9724.266666666666,Chicago
2019,4,3,14288.733333333334,Chicago
2019,4,30,2489.2,Chicago
2019,4,31,552.3181818181819,Chicago
2019,4,34,3973.0,Chicago
2019,4,35,3957.4,Chicago
2019,4,36,11232.363636363636,Chicago
2019,4,37,1461.8,Chicago
2019,4,39,1655.125,Chicago
2019,4,4,16767.25,Chicago
2019,4,43,1109.75,Chicago
2019,4,44,2219.4,Chicago
2019,4,47,7772.6,Chicago
2019,4,48,829.5454545454545,Chicago
2019,4,49,13988.333333333334,Chicago
2019,4,49B,4464.966666666666,Chicago
2019,4,5,387.0,Chicago
2019,4,50,8008.266666666666,Chicago
2019,4,51,1105.1333333333334,Chicago
2019,4,52,10328.266666666666,Chicago
2019,4,52A,3266.8,Chicago
2019,4,53,15319.766666666666,Chicago
2019,4,53A,5885.133333333333,Chicago
2019,4,54,8459.1,Chicago
2019,4,54A,731.5909090909091,Chicago
2019,4,54B,2422.2,Chicago
2019,4,55,7772.933333333333,Chicago
2019,4,55A,297.40909090909093,Chicago
2019,4,55N,462.5769230769231,Chicago
2019,4,56,6766.133333333333,Chicago
2019,4,57,1856.5333333333333,Chicago
2019,4,59,2870.6153846153848,Chicago
2019,4,6,8395.366666666667,Chicago
2019,4,60,9754.533333333333,Chicago
2019,4,62,8551.8,Chicago
2019,4,62H,800.9230769230769,Chicago
2019,4,63,12623.166666666666,Chicago
2019,4,63W,1201.3333333333333,Chicago
2019,4,65,6953.766666666666,Chicago
2019,4,66,18661.266666666666,Chicago
2019,4,67,7979.6,Chicago
2019,4,68,818.8666666666667,Chicago
2019,4,7,5561.863636363636,Chicago
2019,4,70,7217.2,Chicago
2019,4,71,7543.1,Chicago
